Tue Sep 18 12:21:05 PDT 2012
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1348000275493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000280493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000285493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000290493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000295493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000300493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000305493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000310493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000315493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000320493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000325493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000330493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000335493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000340493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000345493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000350493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000355493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000360493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000365493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000370493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000375493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000380493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000385493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000390493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000395493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000400493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000405493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000410493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000415493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000420493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000425493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000430493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000435493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000440493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000445493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000450493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000455493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000460493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000465493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000470493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000475493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000480493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000485493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000490493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000495493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000500493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000505493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000510493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000515493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000520493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000525493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000530493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000535493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000540493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000545493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000550493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000555493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000560493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000565493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000570493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000575493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000580493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000585493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000590493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000595493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000600493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000605493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000610493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000615493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000620493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000625493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000630493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000635493,5,25,4,1,17,0,0,0,1,0,0,0,0
1348000640493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000645493,5,25,5,0,17,0,0,0,1,0,0,0,0
1348000650494,5,25,5,0,17,0,0,0,1,0,0,0,0
